District,Latitude,Longitude,Location,Block,Capacity(In kWp),Category,Financial Year
purbaSinghbhum,22.6815282,85.61409532,"Range Forest Office, Songara, Chakradharpur",,2,Govt. Buildings,FY 16-17
purbaSinghbhum,22.68183161,85.6138841,"Range Forest Office, Kera, Chakradharpur",,2,Govt. Buildings,FY 16-17
Bokaro,23.83623093,86.04206954,CHC Navadih,,10,Hospital,FY 17-18
Bokaro,23.80105072,85.81942065,CHC Gomia,,10,Hospital,FY 17-18
Bokaro,23.62149697,85.85972354,CHC Petarwar,,10,Hospital,FY 17-18
Bokaro,23.60919702,85.93718346,CHC Kasmar,,10,Hospital,FY 17-18
Bokaro,23.56709162,86.37116277,CHC Chandankiyari,,10,Hospital,FY 17-18
Bokaro,23.74085138,85.83605431,CHC Tenughat,,10,Hospital,FY 17-18
Bokaro,23.64107195,86.15780462,"DC Office, Bokaro",,60,Govt. Buildings,FY 17-18
Bokaro,23.73172512,85.8535235,Sub Jail Tenughat,,100,Govt. Buildings,FY 17-18
Bokaro,23.60710802,86.18315173,District Jail Chas Bokaro,,60,Govt. Buildings,FY 17-18
Chatra,24.20771944,84.88350504,"DC Office, Chatra",,60,Govt. Buildings,FY 17-18
Deoghar,24.49254609,86.69221814,District Jail Deoghar,,30,Govt. Buildings,FY 17-18
Dhanbad,23.83884898,86.51893027,"Residential High School, Govindpur",,10,Educational Institution,FY 17-18
Dhanbad,23.79943621,86.43248092,District Jail  Dhanbad,,100,Govt. Buildings,FY 17-18
Dumka,24.31890145,87.29296656,KGBV DUMKA,,20,Educational Institution,FY 17-18
Dumka,24.42634499,87.47959621,KGBV GOPIKANDAR,,20,Educational Institution,FY 17-18
Dumka,24.37005231,87.12108067,KGBV JARMUNDI,,20,Educational Institution,FY 17-18
Dumka,24.36011778,87.42953295,KGBV KATHIKUND,,20,Educational Institution,FY 17-18
Dumka,24.15549028,87.17976567,KGBV MASALIA,,20,Educational Institution,FY 17-18
Dumka,23.63245562,85.53654584,KGBV RAMGARH,,20,Educational Institution,FY 17-18
Dumka,24.04812494,87.41220076,KGBV RANESHWAR,,20,Educational Institution,FY 17-18
Dumka,24.57048615,87.00418324,KGBV SARAIYAHAT,,20,Educational Institution,FY 17-18
Dumka,24.23703386,87.41917587,KGBV SHIKARIPARA,,20,Educational Institution,FY 17-18
Dumka,24.26104578,87.24769602,"DC Office, Dumka",,60,Govt. Buildings,FY 17-18
Dumka,24.58009368,87.01304688,CHC Saraihat,,10,Hospital,FY 17-18
Dumka,24.39433967,87.05033803,CHC Jarmundi,,10,Hospital,FY 17-18
Dumka,23.61615304,85.52213645,CHC Ramgarh,,10,Hospital,FY 17-18
Dumka,24.24308619,87.02530505,CHC Palajori,,10,Hospital,FY 17-18
Dumka,24.35830768,87.42167088,CHC Kathikund,,10,Hospital,FY 17-18
Dumka,24.23732355,87.47446844,CHC Shikaripara,,10,Hospital,FY 17-18
Dumka,24.04629093,87.41013653,CHC Raneshwar,,10,Hospital,FY 17-18
Dumka,24.23643105,86.83928265,CHC Sarath,,10,Hospital,FY 17-18
PashchimiSinghbhum,22.54718474,85.8075138,"DC Office, Pashchimi Singhbhum",,25,Govt. Buildings,FY 17-18
PashchimiSinghbhum,22.75269699,86.19108318,Central Jail Ghaghidih Jamshedpur,,100,Govt. Buildings,FY 17-18
PashchimiSinghbhum,22.8041621,86.23956898,Yatri Niwas Sidgora Jamshedpur,,45,Govt. Buildings,FY 17-18
Garhwa,23.73674992,83.82231162,CHC Bhandaria,,6,Hospital,FY 17-18
Giridih,24.08159418,85.83410322,KGBV BAGODAR,,20,Educational Institution,FY 17-18
Giridih,24.31622946,86.35649779,KGBV BENGABAD,,20,Educational Institution,FY 17-18
Giridih,24.28201214,85.92746762,KGBV BIRNI,,20,Educational Institution,FY 17-18
Giridih,24.49310249,86.19592396,KGBV DEORI,,20,Educational Institution,FY 17-18
Giridih,24.40773692,86.01331833,KGBV DHANWAR,,20,Educational Institution,FY 17-18
Giridih,24.01611026,86.0011946,KGBV DUMRI,,20,Educational Institution,FY 17-18
Giridih,24.61891444,85.88431007,KGBV GAWAN,,20,Educational Institution,FY 17-18
Giridih,24.18386664,86.28160065,KGBV GIRIDIH,,20,Educational Institution,FY 17-18
Giridih,24.29805956,86.22029235,KGBV JAMUA,,20,Educational Institution,FY 17-18
Giridih,24.56896413,86.05879584,KGBV TISRI,,20,Educational Institution,FY 17-18
Giridih,24.17228986,86.27231088,"DC Office, Giridih",,60,Govt. Buildings,FY 17-18
Giridih,24.14780994,86.34614869,District Jail Giridih,,60,Govt. Buildings,FY 17-18
Godda,24.88959985,87.36771732,"Residential Middle School, KartikBhittha.",,10,Educational Institution,FY 17-18
Godda,25.07663964,87.49761607,"Residential Girls Middle School, Boarijor.",,10,Educational Institution,FY 17-18
Godda,24.78213042,87.20747697,"DC Office, Godda",,60,Govt. Buildings,FY 17-18
Godda,24.82505928,87.21349679,District Jail  Godda,,58,Govt. Buildings,FY 17-18
Godda,25.05447127,87.47435369,KGBV BOARIJORE,,20,Educational Institution,FY 17-18
Godda,24.79858489,87.30030459,KGBV GODDA,,20,Educational Institution,FY 17-18
Godda,25.02798839,87.32104839,KGBV MAHAGAMA,,20,Educational Institution,FY 17-18
Godda,25.2087102,87.34281957,KGBV MEHERAMA,,20,Educational Institution,FY 17-18
Godda,24.93191323,87.25492878,KGBV PATHARGAMA,,20,Educational Institution,FY 17-18
Godda,24.70452852,87.23365176,KGBV RAGHUNATHPUR,,20,Educational Institution,FY 17-18
Godda,24.76074483,87.35492187,KGBV SUNDERPAHARI,,20,Educational Institution,FY 17-18
Godda,24.82901379,87.21499316,"Civil Court ,Godda",,100,Govt. Buildings,FY 17-18
Godda,25.10904906,87.47138843,KGBV THAKURGANGTI,,20,Educational Institution,FY 17-18
Gumla,23.38857293,84.27525497,"Residential High School, Jobhipat.",,10,Educational Institution,FY 17-18
Gumla,23.35210923,84.40024765,"Residential Girls High School, Chapatoli.",,10,Educational Institution,FY 17-18
Gumla,23.35369883,84.37666999,"Residential Primary School, Jaingutwa.",,10,Educational Institution,FY 17-18
Gumla,23.03682516,84.53403755,District Jail  Gumla,,45,Govt. Buildings,FY 17-18
Gumla,23.24186085,84.88844014,KGB BHARNO,,20,Educational Institution,FY 17-18
Gumla,23.3740547,84.40257936,KGBV BISHUNPUR,,20,Educational Institution,FY 17-18
Gumla,23.03621354,84.5327898,KGBV GUMLA,,20,Educational Institution,FY 17-18
Gumla,22.904153,84.8952178,KGBV KAMDARA,,20,Educational Institution,FY 17-18
Gumla,23.2263155,84.72870735,KGBV SISAI,,20,Educational Institution,FY 17-18
Gumla,23.03666161,84.53726048,"DC Office, Gumla",,60,Govt. Buildings,FY 17-18
Hazaribag,24.01345198,85.3599581,"Indira Gandhi Balika Vidyalaya, Hazaribag ",,60,Educational Institution,FY 17-18
Jamtara,23.97135764,86.81660836,"DC Office, Jamtara",,20,Govt. Buildings,FY 17-18
Khunti,22.76685335,85.11157898,CHC Rania,,6,Hospital,FY 17-18
Khunti,23.12960061,85.12038433,CHC Karra,,10,Hospital,#N/A
Khunti,22.97634877,85.27630477,CHC Murhu,,10,Hospital,FY 17-18
Khunti,23.00541799,85.53384108,CHC Arki,,10,Hospital,FY 17-18
Khunti,23.00197213,85.5365996,KGBV ARKI,,20,Educational Institution,#N/A
Khunti,23.13670534,85.11078674,KGBV KARRA,,20,Educational Institution,FY 17-18
Khunti,23.19192467,85.28492855,KGBV KALAMATI,,20,Educational Institution,#N/A
Khunti,22.96844463,85.27283482,KGB MURHU,,20,Educational Institution,FY 17-18
Khunti,22.77423788,85.10303833,KGBV RANIYAN,,20,Educational Institution,#N/A
Kodarma,24.74707344,85.7719964,CHC Satgawan,,10,Hospital,#N/A
Kodarma,24.32120254,85.83085441,PHC Markacho,,10,Hospital,FY 17-18
Kodarma,24.47377953,85.59616697,PHC Chandwara,,10,Hospital,FY 17-18
Kodarma,24.36457549,85.64875383,GOVT KGBV JAINAGAR,,20,Educational Institution,FY 17-18
Kodarma,24.47293204,85.60965713,GOVT KGBV Kodarma,,20,Educational Institution,FY 17-18
Kodarma,24.32878385,85.83431599,GOVT KGBV MARKACHO,,20,Educational Institution,FY 17-18
Kodarma,24.62330962,85.88370183,GOVT KGBV SATGAWAN,,20,Educational Institution,FY 17-18
Kodarma,24.47453763,85.59392079,"DC Office, Kodarma",,60,Govt. Buildings,FY 17-18
Kodarma,24.47797797,85.59819568,District Jail Kodarma,,15,Govt. Buildings,FY 17-18
Latehar,23.83384738,84.7794263,"Residential Primary School, Balumath",,10,Educational Institution,FY 17-18
Latehar,23.68118113,84.72880378,"Residential Primary School, Chandwa",,10,Educational Institution,FY 17-18
Latehar,23.77819099,84.46452009,"Residential Primary School, Hotwag",,10,Educational Institution,#N/A
Latehar,23.39776205,84.10511007,CHC Mahuatand,,8,Hospital,FY 17-18
Latehar,23.82906678,84.78974347,CHC Balumath,,6,Hospital,#N/A
Latehar,23.85461353,84.34930225,CHC Manika,,10,Hospital,FY 17-18
Latehar,23.8509381,84.10985963,CHC Barwadih,,10,Hospital,FY 17-18
Latehar,23.67153757,84.73622846,CHC Chandwa,,10,Hospital,FY 17-18
Latehar,24.28247231,85.14953508,CHC Itkhori,,10,Hospital,FY 17-18
Latehar,23.82856961,84.808798,KGBV BALUMATH,,20,Educational Institution,FY 17-18
Latehar,23.85255981,84.11122742,KGBV BARWADIH,,20,Educational Institution,FY 17-18
Latehar,23.67008503,84.74137559,KGBV CHANDWA,,20,Educational Institution,FY 17-18
Latehar,23.72552403,84.49337552,KGBV LATEHAR,,20,Educational Institution,FY 17-18
Latehar,23.86035921,84.35740787,KGBV MANIKA,,20,Educational Institution,FY 17-18
Latehar,23.74217079,84.51075553,"DC Office, Latehar",,40,Govt. Buildings,FY 17-18
Lohardaga,23.45033458,84.69835547,"DC Office, Lohardaga",,60,Govt. Buildings,FY 17-18
Lohardaga,23.45120229,84.70371597,District Jail Lohardaga,,15,Govt. Buildings,FY 17-18
Pakur,24.63680062,87.83648425,Civil Court pakur,,100,Govt. Buildings,FY 17-18
Pakur,24.63968622,87.83565873,District Jail Pakur,,65,Govt. Buildings,FY 17-18
Pakur,24.69935688,87.62351506,CHC Litipara,,10,Hospital,FY 17-18
Pakur,24.51723471,87.56914311,CHC Amrapara,,10,Hospital,FY 17-18
Pakur,24.70588038,87.70031808,CHC Hiranpur,,10,Hospital,FY 17-18
Pakur,24.47430697,87.77822246,CHC Maheshpur,,10,Hospital,FY 17-18
Pakur,24.32856975,87.64474186,CHC Pakuria,,10,Hospital,FY 17-18
Pakur,24.63705766,87.8593796,CHC Pakur,,10,Hospital,FY 17-18
Palamu,24.05941269,84.21188497,"Residential Primary School, Lesliganj",,10,Educational Institution,FY 17-18
Palamu,24.03825825,84.47391808,CHC Panki,,7,Hospital,FY 17-18
Palamu,24.01121946,84.047868,KGBV CHAINPUR,,20,Educational Institution,FY 17-18
Palamu,24.45564774,84.22597598,KGBV CHHATARPUR,,20,Educational Institution,FY 17-18
Palamu,24.0424265,84.06116912,KGBV MEDININAGAR,,20,Educational Institution,FY 17-18
Palamu,24.55271196,83.99153938,KGBV HUSSAINABAD,,20,Educational Institution,FY 17-18
Palamu,24.04416804,84.21495073,KGBV LESLIGANJ,,20,Educational Institution,FY 17-18
Palamu,24.19355074,84.13792856,KGBV PATAN,,20,Educational Institution,FY 17-18
Palamu,24.02600793,84.47839632,KGBV PANKI,,20,Educational Institution,FY 17-18
Palamu,23.930078,84.25202683,KGBV SATBARWA,,20,Educational Institution,FY 17-18
Palamu,24.17693397,84.36774688,KGBV MANATU,,20,Educational Institution,FY 17-18
Palamu,24.04950246,84.09515628,"Nilambar-Pitamber University, Medninagar",,100,Educational Institution,FY 17-18
Palamu,24.04000641,84.0710525,"DC Office, Palamu",,60,Govt. Buildings,FY 17-18
Ranchi,23.45289519,85.31746294,"National university of study & resarch in Law,Kanke,Pithoria",,100,Educational Institution,FY 17-18
Ranchi,23.38103341,85.28432037,"SIRD, Hehal, Ranchi",,60,Educational Institution,FY 17-18
Ranchi,23.370707,85.33169157,"Govt. Women Polytechnic, Ranchi",,60,Educational Institution,FY 17-18
Ranchi,23.34181744,85.12272964,Itki Arogyashala (IRL Lab),,60,Hospital,FY 17-18
Ranchi,23.3466838,85.36861711,"Health Directorate, Namkum Ranchi",,40,Hospital,FY 17-18
Ranchi,23.36562311,85.31936214,"Marwari College, Ranchi ",,100,Educational Institution,FY 17-18
Ranchi,23.39685432,85.33495432,Dr. Ramdayal Munda Tribal Welfare & Research Institute,,25,Educational Institution,FY 17-18
Ranchi,23.37345276,85.39093349,"Birsa Munda Jail,Hotwar",,82,Govt. Buildings,FY 17-18
Sahibganj,24.99985463,87.73900265,"Residential Girls High School, Vrindawan, Teenpahar.",,10,Educational Institution,FY 17-18
Sahibganj,24.89643306,87.60185711,"Residential Girls High School, Berhait",,10,Educational Institution,#N/A
Sahibganj,24.86961973,87.75223349,"Residential Middle School, Dhamdhamiya. ",,10,Educational Institution,FY 17-18
Sahibganj,24.8696976,87.75223349,"Residential Middle School, Amberi.",,10,Educational Institution,FY 17-18
Sahibganj,25.22850751,87.64390534,District Jail Sahibganj,,15,Govt. Buildings,FY 17-18
Sahibganj,25.04644581,87.83866505,"Civil Court ,Rajmahal",,100,Govt. Buildings,FY 17-18
SaraikelaKharsawan,22.70401472,85.93524083,"Civil Courts, Saraikela Kharsawan",,100,Govt. Buildings,FY 17-18
SaraikelaKharsawan,22.73050129,85.9593272,"DC Office, Saraikela Kharsawan",,60,Govt. Buildings,FY 17-18
SaraikelaKharsawan,22.69901024,85.92566206,District Jail Saraikela,,40,Govt. Buildings,FY 17-18
SaraikelaKharsawan,22.92168111,86.05519803,K. G. B. V  CHANDIL,,20,Educational Institution,FY 17-18
SaraikelaKharsawan,22.78237847,85.80862661,K.G.B.V. KHARSAWAN,,20,Educational Institution,FY 17-18
SaraikelaKharsawan,22.84083963,85.74231758,K.G.B.V. KUCHAI,,20,Educational Institution,FY 17-18
SaraikelaKharsawan,23.01240997,86.12162387,K.G.B.V. NIMDIH,,20,Educational Institution,FY 17-18
SaraikelaKharsawan,22.6230422,86.00505983,K.G.B.V RAJNAGAR,,20,Educational Institution,FY 17-18
SaraikelaKharsawan,22.73918173,85.9534877,KASTURBA GANDHI A.S SERAIKELLA,,20,Educational Institution,FY 17-18
Simdega,22.61629092,84.50362592,Sadar Hospital Simdega,,60,Hospital,FY 17-18
Simdega,22.6419166,84.89905685,KGBV BANO,,20,Educational Institution,FY 17-18
Simdega,22.58071466,84.81698021,KGBV JALDEGA,,20,Educational Institution,FY 17-18
Simdega,22.69278595,84.71572183,KGBV KOLEBIRA,,20,Educational Institution,FY 17-18
Simdega,22.57608302,84.16019506,KGBV KURDEG,,20,Educational Institution,FY 17-18
Simdega,22.61521901,84.52627653,KGBV SIMDEGA,,20,Educational Institution,FY 17-18
Simdega,22.50128178,84.50291599,KGBV THFTAITNAGAR,,20,Educational Institution,#N/A
Simdega,22.43020031,84.3408631,CHC Bolba,,6,Hospital,FY 17-18
Simdega,22.54474458,84.11935321,CHC Kurdeg,,10,Hospital,FY 17-18
Simdega,22.4974283,84.50641655,CHC Thethaitangar,,10,Hospital,FY 17-18
Simdega,22.69890746,84.69499568,CHC Kolebira,,10,Hospital,FY 17-18
Simdega,22.65040902,84.91141254,CHC Bano,,10,Hospital,FY 17-18
Simdega,22.65606531,84.31820414,PHC sewai,,10,Hospital,FY 17-18
purbaSinghbhum,22.4522046,85.92808075,CHC Tantnagar,,7,Hospital,FY 17-18
purbaSinghbhum,22.58317362,85.46308979,CHC Sonua,,10,Hospital,FY 17-18
purbaSinghbhum,22.86278631,85.3314995,CHC Bandgaon,,10,Hospital,FY 17-18
purbaSinghbhum,22.68127558,85.80243354,CHC khutpani,,10,Hospital,FY 17-18
purbaSinghbhum,22.51032624,85.37751941,CHC Goilkera,,10,Hospital,FY 17-18
purbaSinghbhum,24.92745824,87.32907404,CHC Manohapur,,10,Hospital,FY 17-18
purbaSinghbhum,22.38332055,85.73210719,CHC Tonto,,10,Hospital,FY 17-18
purbaSinghbhum,22.33600272,85.93000848,CHC Manjhari,,10,Hospital,FY 17-18
Bokaro,23.63608042,86.14215203,SECTOR - 12 PS,,10,Police Station,FY 18-19
Bokaro,23.69127672,86.15327524,HARLA PS,,10,Police Station,FY 18-19
Bokaro,23.66134088,86.30919045,SIYALJORI PS,,10,Police Station,FY 18-19
Bokaro,23.74697346,86.11928439,CHANDRAPURA PS,,10,Police Station,FY 18-19
Bokaro,23.83086832,85.82826715,I.E.L. POLICE STATION,,10,Police Station,FY 18-19
Bokaro,23.61523494,85.84929943,PETERBAR PS,,10,Police Station,#N/A
Bokaro,23.66148596,86.00904414,JARIDIH PS,,10,Police Station,FY 18-19
Bokaro,23.5051801,86.19768958,PINDAJORA PS,,10,Police Station,#N/A
Bokaro,23.57690042,86.35514875,CHANDANDKIYARI PS,,10,Police Station,FY 18-19
Bokaro,23.74961348,86.15666266,DUGDHA PS,,10,Police Station,FY 18-19
Bokaro,23.64702291,86.15579959,Bokaro Circle Office Commercial Taxes,,25,Govt. Buildings,FY 18-19
Bokaro,23.72254178,85.8427571,Sub Divisional Court Tenughat,,100,Govt. Buildings,FY 18-19
Bokaro,23.76392434,86.001936,BERMO PS,,10,Police Station,FY 18-19
Bokaro,23.85018832,86.04309076,NAVADIH PS,,10,Police Station,FY 18-19
Bokaro,23.80055136,85.82125074,GOMIA PS,,10,Police Station,FY 18-19
Bokaro,23.74091377,85.75706092,LALPANIA PS,,10,Police Station,FY 18-19
Chatra,24.29423248,85.00881335,RAJPUR PS,,10,Police Station,FY 18-19
Chatra,24.28331781,85.24200182,MAYURHAND PS,,10,Police Station,FY 18-19
Chatra,24.05754305,84.93563857,SIMARIYA PS,,10,Police Station,FY 18-19
Chatra,24.20903223,84.87318805,SADAR Police Station,,10,Police Station,FY 18-19
Chatra,24.17748951,85.01854455,GIDDAUR Police Station,,10,Police Station,FY 18-19
Chatra,24.07513617,84.73542706,LAWALONG Police Station,,10,Police Station,FY 18-19
Chatra,23.85078227,85.03180227,TANDWA Police Station,,10,Police Station,FY 18-19
Chatra,24.43470561,84.8143661,HUNTERGANJ Police Station,,10,Police Station,FY 18-19
Chatra,24.296074,84.63773136,PRATAPPUR Police Station,,10,Police Station,FY 18-19
Chatra,25.72254492,81.51089116,KUNDA Police Station,,10,Police Station,FY 18-19
Chatra,24.85613483,86.30570344,CHC Gidhour,,10,Hospital,FY 18-19
Chatra,24.2916001,85.15584199,ITKHORI Police Station,,10,Police Station,FY 18-19
Chatra,25.52258399,82.16187042,CHC Pratappur,,10,Hospital,FY 18-19
Chatra,24.07520767,84.73480788,CHC Lawalaung,,10,Hospital,FY 18-19
Deoghar,24.48529345,86.62237602,"Krishi Vigyan Kendra, Deoghar",,25,Educational Institution,FY 18-19
Deoghar,24.49174183,86.68394564,Sub-Divisional Office Deoghar,,25,Govt. Buildings,FY 18-19
Deoghar,24.27314931,86.64300751,Sub-Divisional Office Madhupur,,25,Govt. Buildings,FY 18-19
Deoghar,24.51239034,86.81640165,CHC Mohanpur,,10,Hospital,FY 18-19
Deoghar,24.38686283,86.78256165,CHC Sarwan,,10,Hospital,FY 18-19
Deoghar,24.40191507,86.58950852,CHC Devipur,,10,Hospital,FY 18-19
Deoghar,24.49643547,86.64130817,CHC Jasidih,,10,Hospital,FY 18-19
Deoghar,24.48063929,86.70361388,Kunda PS,,10,Police Station,FY 18-19
Deoghar,24.49880364,86.6422547,JASIDIH PS,,10,Police Station,FY 18-19
Deoghar,21.84407502,87.42286919,MAOHANPUR PS,,10,Police Station,FY 18-19
Deoghar,24.39839015,86.58611791,DEVIPUR PS,,10,Police Station,FY 18-19
Dhanbad,23.80281608,86.43220165,DHANBAD PS,,10,Police Station,FY 18-19
Dhanbad,23.78729295,86.70242852,NIRSHA PS,,10,Police Station,FY 18-19
Dhanbad,23.77808913,86.38171777,KENDUADIH PS,,10,Police Station,FY 18-19
Dhanbad,23.78835065,86.41944502,BANKMODE PS,,10,Police Station,FY 18-19
Dhanbad,23.81029948,86.45047841,SARAIDHELA PS,,10,Police Station,FY 18-19
Dhanbad,23.77643849,86.41170421,DHANSAR PS,,10,Police Station,FY 18-19
Dhanbad,23.66566217,86.48422069,SINDRI PS,,10,Police Station,FY 18-19
Dhanbad,23.73741496,86.80283222,CHIRKUNDA PS,,10,Police Station,FY 18-19
Dhanbad,23.80852322,86.29198283,KATRASH PS,,10,Police Station,FY 18-19
Dhanbad,23.84850662,86.42791492,BARWADA PS,,10,Police Station,FY 18-19
Dhanbad,23.9853838,86.45160379,TUNDI PS,,10,Police Station,FY 18-19
Dhanbad,23.98836988,86.3680315,MANIADIH PS,,10,Police Station,FY 18-19
Dhanbad,23.89895348,86.58841045,EAST TUNDI PS,,10,Police Station,FY 18-19
Dhanbad,26.69428894,88.52860403,RAJGANJ PS,,10,Police Station,FY 18-19
Dhanbad,23.78717321,86.20114174,BAGHMARA PS,,10,Police Station,FY 18-19
Dhanbad,23.74985461,86.27352825,MAHUDA PS,,10,Police Station,FY 18-19
Dhanbad,23.72147079,86.51960578,BLIAPUR PS,,10,Police Station,FY 18-19
Dhanbad,23.8089048,86.33968938,TETULMARI PS,,10,Police Station,FY 18-19
Dhanbad,23.81357193,86.23754727,BARORA PS,,10,Police Station,FY 18-19
Dhanbad,23.78525186,86.35445521,LOYABAD PS,,10,Police Station,FY 18-19
Dhanbad,23.82272469,86.28305911,Women's and Child Protection Police Station Dhanbad,,10,Police Station,FY 18-19
Dhanbad,23.70856529,86.52622069,"Krishi Vigyan Kendra, Baliapur,Dhanbad",,25,Educational Institution,FY 18-19
Dhanbad,23.99123761,86.44343611,Tundi CHC,,10,Hospital,FY 18-19
Dhanbad,23.90015495,86.22571972,Topchachi CHC,,10,Hospital,FY 18-19
Dhanbad,23.78814954,86.20282139,Baghmara CHC,,10,Hospital,FY 18-19
Dhanbad,23.72023794,86.52402681,Baliyapur CHC,,10,Hospital,FY 18-19
Dhanbad,23.7870198,86.70205211,Nirsa CHC,,10,Hospital,FY 18-19
Dumka,24.25393157,87.24443689,"Krishi Vigyan Kendra, ZARS Dumka",,25,Educational Institution,FY 18-19
Dumka,24.26108785,87.24697141,Dumka Circle Office Commercial Taxes,,25,Govt. Buildings,FY 18-19
Dumka,24.2632546,87.24762744,Sub-Divisional Office Dumka,,25,Govt. Buildings,FY 18-19
Dumka,24.26708597,87.24960153,NAGAR PS,,10,Police Station,FY 18-19
Dumka,24.27273041,87.25720838,MUFSIL PS,,10,Police Station,FY 18-19
Dumka,24.23677008,87.47538099,SHIKARIPARA PS,,10,Police Station,FY 18-19
Dumka,24.35662169,87.42202699,KATHIKUND PS,,10,Police Station,FY 18-19
Dumka,24.42258333,87.48462434,GOPIKANDAR PS,,10,Police Station,FY 18-19
Dumka,24.34862431,87.14999564,JAMA PS,,10,Police Station,FY 18-19
Dumka,24.44550874,86.921854,TALJHARI PS,,10,Police Station,FY 18-19
Dumka,24.57989904,87.01137634,SARAIYAHAT PS,,10,Police Station,FY 18-19
Dumka,24.38904268,87.07909581,JARMUNDI PS,,10,Police Station,FY 18-19
PashchimiSinghbhum,22.61175455,86.46344899,"Sub-Divisional Court, Ghatshila",,100,Govt. Buildings,FY 18-19
PashchimiSinghbhum,22.79852656,86.18437649,BISTUPUR PS,,10,Police Station,FY 18-19
PashchimiSinghbhum,22.8034506,86.19995445,SAKACHI PS,,10,Police Station,FY 18-19
PashchimiSinghbhum,22.82069847,86.17879288,SONARI PS,,10,Police Station,FY 18-19
PashchimiSinghbhum,22.75594815,86.20182965,PARSUDIH PS,,10,Police Station,FY 18-19
PashchimiSinghbhum,22.78341553,86.2274673,GOLMURI PS,,10,Police Station,FY 18-19
PashchimiSinghbhum,22.78201407,86.18503308,JUGSALAI PS,,10,Police Station,FY 18-19
PashchimiSinghbhum,22.83946183,86.20280641,AAZADNAGAR PS,,10,Police Station,FY 18-19
PashchimiSinghbhum,22.78759821,86.25029695,BIRSANAGAR PS,,10,Police Station,FY 18-19
PashchimiSinghbhum,22.79914546,86.17222352,KADMA PS,,10,Police Station,FY 18-19
PashchimiSinghbhum,22.90729528,86.38904882,PATMADA PS,,10,Police Station,FY 18-19
PashchimiSinghbhum,22.58092569,86.48216498,GHATSILA PS,,10,Police Station,FY 18-19
PashchimiSinghbhum,22.56628373,86.15269052,KOWALI PS,,10,Police Station,FY 18-19
PashchimiSinghbhum,22.96653373,86.28169026,BORAM PS,,10,Police Station,#N/A
PashchimiSinghbhum,22.3659853,86.54048683,GUDBANDHA PS,,10,Police Station,FY 18-19
PashchimiSinghbhum,22.2750273,86.71684891,BAHARGODA PS,,10,Police Station,FY 18-19
PashchimiSinghbhum,22.4808405,86.72144269,CHAKULIYA PS,,10,Police Station,FY 18-19
PashchimiSinghbhum,22.62057816,85.82306591,SHYAMSUNDARPUR PS,,10,Police Station,FY 18-19
PashchimiSinghbhum,22.51940603,86.54932295,DHALBHUMGARH PS,,10,Police Station,FY 18-19
PashchimiSinghbhum,22.51942802,86.45772387,MUSABANI PS,,10,Police Station,FY 18-19
PashchimiSinghbhum,22.6539873,86.35320959,JADUGODA PS,,10,Police Station,FY 18-19
PashchimiSinghbhum,22.33749477,86.81737736,Barsol PS,,10,Police Station,FY 18-19
PashchimiSinghbhum,22.73728848,86.19710223,Sundernagar PS,,10,Police Station,FY 18-19
PashchimiSinghbhum,22.62811895,86.22266114,CHC Potka,,10,Hospital,FY 18-19
PashchimiSinghbhum,22.50254539,86.46398574,CHC Musabani,,10,Hospital,FY 18-19
Garhwa,24.16101906,83.80775503,GARHWA Police Station,,10,Police Station,FY 18-19
Garhwa,24.28320305,83.49857012,NAGAR UTRI Police Station,,10,Police Station,FY 18-19
Garhwa,24.11991466,83.61649306,DANDAI Police Station,,10,Police Station,FY 18-19
Garhwa,23.987278,83.78909501,RANKA Police Station,,10,Police Station,FY 18-19
Garhwa,23.87207917,83.88374916,RAMKANDA Police Station,,10,Police Station,FY 18-19
Garhwa,24.04313219,83.62930305, CHINIYA Police Station,,10,Police Station,FY 18-19
Garhwa,23.96212395,88.03941169,KANDI Police Station,,10,Police Station,FY 18-19
Garhwa,24.29658968,83.66445794,BISHUNPURA Police Station,,10,Police Station,FY 18-19
Garhwa,23.73612954,83.82484002,BHANDARIYA Police Station,,10,Police Station,FY 18-19
Garhwa,24.37199536,83.73675496,BARDIHA Police Station,,10,Police Station,FY 18-19
Garhwa,24.2382423,83.59091853,RAMNA Police Station,,10,Police Station,FY 18-19
Garhwa,24.32205121,83.8117347,MANJHIAON Police Station,,10,Police Station,FY 18-19
Garhwa,24.39271752,83.57674032,BHAVNATHPUR Police Station,,10,Police Station,FY 18-19
Garhwa,24.14041602,83.44894858,DHURKI Police Station,,10,Police Station,FY 18-19
Garhwa,24.14930729,83.96475139,DANDA Police Station,,10,Police Station,FY 18-19
Garhwa,24.38461495,83.56856283,CHC Bhavanthpur,,10,Hospital,FY 18-19
Garhwa,24.48019656,83.76638665,CHC Kandi,,10,Hospital,FY 18-19
Garhwa,24.22971568,83.60934071,CHC Ramna,,10,Hospital,FY 18-19
Garhwa,24.25168797,83.57172096,CHC Nagarutari,,10,Hospital,FY 18-19
Garhwa,24.14257327,83.45081807,CHC Dhurki,,10,Hospital,FY 18-19
Garhwa,24.11841233,83.62092278,CHC Dandai,,10,Hospital,FY 18-19
Garhwa,24.05231222,83.63128574,CHC Chiniya,,10,Hospital,FY 18-19
Garhwa,24.17876848,83.70993976,CHC Meral,,10,Hospital,FY 18-19
Garhwa,23.98305822,83.78018957,CHC Ranka,,10,Hospital,FY 18-19
